name,address,lat,lng,type
"M.A.G Osmani Medical College Hospital, Sylhet",Bangladesh,24.900368,91.853244,hospital
উত্তরা আধুনিক মেডিকেল কলেজ ও হাসপাতাল,Bangladesh,23.874799,90.396733,hospital
Uttara Cresent,Bangladesh,23.867307,90.396671,hospital
পিজি হাসপাতাল,Bangladesh,23.739118,90.395553,hospital
Bangladesh Eye Hospital,Bangladesh,23.751793,90.367321,hospital
Gonoshastha Nagar Hospital,Bangladesh,23.743483,90.382585,hospital
National Hospital,Bangladesh,23.710653,90.411916,hospital
Medical Facility,Bangladesh,21.32475,92.083226,hospital
C R P,Bangladesh,23.85625,90.265914,hospital
Medical Facility,Bangladesh,23.856083,90.265239,pharmacy
Sumona Clinic,Bangladesh,23.707781,90.410226,hospital
Khulna Sadar Hospital,Bangladesh,22.817375,89.567643,hospital
Chittagong Medical College Hospital,Bangladesh,22.359335,91.830657,hospital
Ad-Din Women's Medical college & Hospital,Bangladesh,23.748503,90.405068,hospital
Holy Family Red Crescent Medical College and Hospital,Bangladesh,23.746598,90.402732,hospital
BUET Health Complex,Bangladesh,23.727934,90.39238,hospital
Prince Pharma,Bangladesh,23.806766,90.367959,pharmacy
Kidney Research Institute,Bangladesh,23.802583,90.360119,hospital
Medical Facility,Bangladesh,23.707212,90.414786,pharmacy
Medical Facility,Bangladesh,23.705982,90.414386,hospital
Life Medical Store,Bangladesh,23.706036,90.415499,pharmacy
Chittagong Medical College,Bangladesh,22.360102,91.831544,hospital
Pharmaland,Bangladesh,23.874553,90.393565,pharmacy
আমেরিকান সুপারস্পেসটিটি হাসপাতাল,Bangladesh,23.87049,90.403546,hospital
Altaf Uz Zaman Collage & Hospital,Bangladesh,24.37184,88.586341,hospital
Comfort Hotel,Bangladesh,23.55123,90.534602,pharmacy
Medical Facility,Bangladesh,23.549514,90.534806,pharmacy
Bangladesh Medical College Hospital,Bangladesh,23.750195,90.369748,hospital
ইবনে সিনা হাসপাতাল,Bangladesh,23.751595,90.368919,hospital
Pharmacy,Bangladesh,21.443639,91.971735,pharmacy
Medical Facility,Bangladesh,21.442825,91.970762,pharmacy
Medical Facility,Bangladesh,21.443837,91.97284,pharmacy
Medical Facility,Bangladesh,21.444445,91.973398,pharmacy
Medical Facility,Bangladesh,21.443552,91.97737,pharmacy
Community Eye Hospital,Bangladesh,21.44363,91.977268,hospital
Central Hospital Cox's bazar,Bangladesh,21.442312,91.977031,hospital
Dental Care,Bangladesh,21.442363,91.976989,hospital
Dental Care,Bangladesh,21.442302,91.97674,hospital
Chevron Hospital,Bangladesh,21.441285,91.976844,hospital
Digital Hospital,Bangladesh,21.44144,91.976909,hospital
Jela Sadar Hospital,Bangladesh,21.441556,91.976916,hospital
Chevron Clinical Laboratory,Bangladesh,21.44147,91.976298,hospital
Seaside Hospital,Bangladesh,21.441651,91.976123,hospital
Medical Facility,Bangladesh,21.420278,91.982141,pharmacy
Chittagong Metropolitan Hospital,Bangladesh,22.358938,91.823457,hospital
Metropolitan Clinic,Bangladesh,22.359339,91.823759,hospital
Royal Hospital,Bangladesh,22.359315,91.824298,hospital
Bell View Diagonistics,Bangladesh,22.35933,91.824061,hospital
Popular,Bangladesh,23.741014,90.412348,hospital
Borishal Medicine,Bangladesh,23.744016,90.414641,pharmacy
Rangpur Medial College Hospital,Bangladesh,25.767014,89.231559,hospital
Medical Facility,Bangladesh,25.764633,89.232276,pharmacy
Medical Facility,Bangladesh,25.764552,89.232383,pharmacy
Medical Facility,Bangladesh,25.764459,89.232544,pharmacy
Medical Facility,Bangladesh,25.764349,89.232705,pharmacy
General Hospital,Bangladesh,22.341204,91.838129,hospital
"Centre Point Hospital ,  OS",Bangladesh,22.343781,91.833969,hospital
"RUET Central Hospital, Rajshahi",Bangladesh,24.368709,88.626626,hospital
Tamanna Pharmacy,Bangladesh,23.811933,90.43064,pharmacy
Treatment Hospital,Bangladesh,22.361888,91.829722,hospital
Holy Health Hospital,Bangladesh,22.361853,91.830401,hospital
Surjer Hasi Clinic,Bangladesh,22.361431,91.813602,hospital
Lions Charitable Eye Hospital,Bangladesh,22.361221,91.816056,hospital
Imperial Hospital,Bangladesh,22.360668,91.795812,hospital
Banghabondhu Memorial Hospital,Bangladesh,22.361529,91.797692,hospital
Holy Crescent Hospital,Bangladesh,22.362018,91.809356,hospital
Chittagong diabetic and general Hospital,Bangladesh,22.361783,91.802456,hospital
USTC Medical College Hospital,Bangladesh,22.361721,91.798177,hospital
Central Plaza Pharmacy,Bangladesh,22.359404,91.822243,pharmacy
Medical Square,Bangladesh,22.394264,91.868978,hospital
Chittagong Medical College,Bangladesh,22.360605,91.830382,hospital
"Modern Diagnostic Center,OS",Bangladesh,22.367408,91.843081,blood_test
Marie Stopes Clinic,Bangladesh,22.359184,91.826521,hospital
labaid diagnostic center,Bangladesh,22.358827,91.825142,blood_test
Popular Diagnostic Center,Bangladesh,22.36091,91.831772,blood_test
Metro diagnostic center,Bangladesh,22.358303,91.825463,blood_test
Chittagong Shishu Hospital,Bangladesh,22.361091,91.831206,hospital
লাইফ সেভ ব্লাড ব্যাংক,Bangladesh,22.360394,91.828263,hospital
Pioneer hospital and diagnostic center Ltd.,Bangladesh,22.441375,91.907927,blood_test
"Appolo Diagnostic Center , OS",Bangladesh,22.441277,91.908619,blood_test
Ultra Assay Center,Bangladesh,22.458935,91.965978,hospital
"Pioneer hospital And diagnostic center Ltd. , OS",Bangladesh,22.441377,91.907927,blood_test
"Jemison redcrescent maternity hospital,Anderkilla",Bangladesh,22.342437,91.837451,hospital
"Jemison redcrescent maternity hospital,Anderkilla",Bangladesh,22.342437,91.837451,hospital
Health Home Private Clinic,Bangladesh,22.360453,91.833738,hospital
Mirror Hospital Limited.,Bangladesh,22.360206,91.833258,hospital
"Mohila O Sishu Hospital,OS",Bangladesh,22.360284,91.833883,hospital
Surgiscope hospital unit 1 OS,Bangladesh,22.360463,91.833449,hospital
Woodland Diagnostic Center,Bangladesh,22.359629,91.835104,blood_test
Surgiscope Hospital unit 2,Bangladesh,22.3598,91.83747,hospital
Doctor's hospital(OS),Bangladesh,22.365189,91.833934,hospital
CSCR storke unit,Bangladesh,22.363138,91.830525,hospital
Checkup Diagnostic Centre,Bangladesh,22.361448,91.828975,blood_test
Islampur Upazilla Health Complex,Bangladesh,25.078022,89.799515,hospital
Dewangonj Upazilla Health Complex,Bangladesh,25.162088,89.758944,hospital
Samorita Hospital,Bangladesh,23.752392,90.385329,hospital
Chowdhury and Sons,Bangladesh,22.362955,91.834738,pharmacy
Niramoy Clinic,Bangladesh,22.362448,91.834656,hospital
Sherpur General Hospital,Bangladesh,25.018086,90.024539,hospital
Bhaluka Upazillz Health Complex,Bangladesh,24.406442,90.381631,hospital
Gafargaon Upazilla Health Complex,Bangladesh,24.462716,90.545162,hospital
Karimganj Upazilla Health Complex,Bangladesh,24.46579,90.871875,hospital
Katiyadi Upazilla Health Complex,Bangladesh,24.24437,90.797809,hospital
Nandail Upazilla Health Complex,Bangladesh,24.56614,90.690211,hospital
Nikli Upazilla Health Complex,Bangladesh,24.325893,90.93363,hospital
Pakundia Upazilla Health Complex,Bangladesh,24.329363,90.679494,hospital
Trishal Upazilla Health Complex,Bangladesh,24.576491,90.3948,hospital
বাসাইল উপজেলা স্বাস্থ্য কমপ্লেক্স,Bangladesh,24.22893,90.05435,hospital
Kalihati Upazilla Health Complex,Bangladesh,24.389674,89.990275,hospital
Sreepur Upazilla Health Complex,Bangladesh,24.200537,90.478554,hospital
Bhuapur Upazilla Health Complex,Bangladesh,24.46305,89.874705,hospital
Tangail Medical College Hospital,Bangladesh,24.26397,89.925263,hospital
Aminbazar union Health Center,Bangladesh,23.787859,90.327993,hospital
Dhamrai Upazilla Health Complex,Bangladesh,23.913707,90.227525,hospital
Gazipur General Hospital,Bangladesh,23.992547,90.424804,hospital
Ghior Upazilla Health Complex,Bangladesh,23.890921,89.877144,hospital
