name,address,lat,lng,type
Dhaka EPI Dengue Center,"Dhaka, Bangladesh",23.803946,90.392043,vaccine
Dhaka Immunization Clinic,"Dhaka, Bangladesh",23.808343,90.418543,vaccine
Dengue Prevention Center Dhaka,"Dhaka, Bangladesh",23.837245,90.420423,vaccine
Dhaka Dengue Vaccination Center,"Dhaka, Bangladesh",23.814766,90.401802,vaccine
Dhaka Dengue Diagnostic Lab,"Dhaka, Bangladesh",23.818281,90.414615,blood_test
Dengue Detection Lab Dhaka,"Dhaka, Bangladesh",23.826801,90.389992,blood_test
Dhaka Fever Diagnostic Center,"Dhaka, Bangladesh",23.811737,90.402852,blood_test
Dengue Relief Center Dhaka,"Dhaka, Bangladesh",23.804806,90.426163,aid
Dengue Relief Center Dhaka,"Dhaka, Bangladesh",23.811216,90.43335,aid
Dhaka Community Dengue Care,"Dhaka, Bangladesh",23.822871,90.43031,aid
Dengue Surveillance Unit Dhaka,"Dhaka, Bangladesh",23.800294,90.421969,hospital
Dhaka Dengue Control Center,"Dhaka, Bangladesh",23.798198,90.396134,pharmacy
Dhaka Dengue Control Center,"Dhaka, Bangladesh",23.799576,90.436403,vaccine
Chittagong EPI Dengue Center,"Chittagong, Bangladesh",22.356864,91.762107,vaccine
Chittagong Immunization Clinic,"Chittagong, Bangladesh",22.345027,91.786685,vaccine
Dengue Prevention Center Chittagong,"Chittagong, Bangladesh",22.363838,91.778966,vaccine
Dengue Prevention Center Chittagong,"Chittagong, Bangladesh",22.374501,91.790776,vaccine
Dengue Detection Lab Chittagong,"Chittagong, Bangladesh",22.348751,91.793722,blood_test
Dengue Blood Test Center Chittagong,"Chittagong, Bangladesh",22.382704,91.754132,blood_test
Dengue Detection Lab Chittagong,"Chittagong, Bangladesh",22.335194,91.811468,blood_test
Dengue Blood Test Center Chittagong,"Chittagong, Bangladesh",22.341642,91.783631,blood_test
Chittagong Free Dengue Clinic,"Chittagong, Bangladesh",22.327282,91.774925,aid
Dengue Relief Center Chittagong,"Chittagong, Bangladesh",22.371392,91.781107,aid
Chittagong Community Dengue Care,"Chittagong, Bangladesh",22.372011,91.766276,aid
Chittagong Free Dengue Clinic,"Chittagong, Bangladesh",22.342967,91.778746,aid
Dengue Surveillance Unit Chittagong,"Chittagong, Bangladesh",22.362628,91.771831,hospital
Dengue Surveillance Unit Chittagong,"Chittagong, Bangladesh",22.360616,91.799925,pharmacy
Chittagong Dengue Control Center,"Chittagong, Bangladesh",22.346532,91.807795,vaccine
Dengue Prevention Center Sylhet,"Sylhet, Bangladesh",24.922251,91.845672,vaccine
